key,value,timestamp,topic,partition,offset
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 0.0009901, ""timestamp"": ""2024-12-08T18:13:22.033158Z"", ""timestamp_ms"": 1733681602033}",1733681600634,trades,0,30137
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6366e-05, ""volume"": 3736743.0, ""timestamp"": ""2024-12-08T18:13:22.034887Z"", ""timestamp_ms"": 1733681602034}",1733681600635,trades,0,30138
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4661494, ""volume"": 13.0, ""timestamp"": ""2024-12-08T18:13:24.530658Z"", ""timestamp_ms"": 1733681604530}",1733681603193,trades,0,30139
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4660183, ""volume"": 13.0, ""timestamp"": ""2024-12-08T18:13:26.709951Z"", ""timestamp_ms"": 1733681606709}",1733681605345,trades,0,30140
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.9, ""volume"": 9.951e-05, ""timestamp"": ""2024-12-08T18:13:27.030980Z"", ""timestamp_ms"": 1733681607030}",1733681605652,trades,0,30141
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 0.00022772, ""timestamp"": ""2024-12-08T18:13:31.535591Z"", ""timestamp_ms"": 1733681611535}",1733681610158,trades,0,30142
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 0.00256115, ""timestamp"": ""2024-12-08T18:13:31.789303Z"", ""timestamp_ms"": 1733681611789}",1733681610362,trades,0,30143
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6396e-05, ""volume"": 94750805.38184, ""timestamp"": ""2024-12-08T18:13:34.417039Z"", ""timestamp_ms"": 1733681614417}",1733681613023,trades,0,30144
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 0.0003123, ""timestamp"": ""2024-12-08T18:13:35.589945Z"", ""timestamp_ms"": 1733681615589}",1733681614150,trades,0,30145
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.466335, ""volume"": 19.5961634, ""timestamp"": ""2024-12-08T18:13:36.648087Z"", ""timestamp_ms"": 1733681616648}",1733681615275,trades,0,30146
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 0.00256248, ""timestamp"": ""2024-12-08T18:13:38.469831Z"", ""timestamp_ms"": 1733681618469}",1733681617025,trades,0,30147
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 3983.19, ""volume"": 0.00334, ""timestamp"": ""2024-12-08T18:13:40.138539Z"", ""timestamp_ms"": 1733681620138}",1733681618699,trades,0,30148
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.9, ""volume"": 0.00019415, ""timestamp"": ""2024-12-08T18:13:41.068731Z"", ""timestamp_ms"": 1733681621068}",1733681619621,trades,0,30149
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 0.00048299, ""timestamp"": ""2024-12-08T18:13:42.735299Z"", ""timestamp_ms"": 1733681622735}",1733681621317,trades,0,30150
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 0.02522919, ""timestamp"": ""2024-12-08T18:13:47.702102Z"", ""timestamp_ms"": 1733681627702}",1733681626336,trades,0,30151
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.9, ""volume"": 0.00079166, ""timestamp"": ""2024-12-08T18:13:49.949517Z"", ""timestamp_ms"": 1733681629949}",1733681628589,trades,0,30152
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 3983.01, ""volume"": 0.5021328, ""timestamp"": ""2024-12-08T18:13:50.172971Z"", ""timestamp_ms"": 1733681630172}",1733681628725,trades,0,30153
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 3983.01, ""volume"": 0.12550484, ""timestamp"": ""2024-12-08T18:13:50.172971Z"", ""timestamp_ms"": 1733681630172}",1733681628726,trades,0,30154
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4660001, ""volume"": 106.27, ""timestamp"": ""2024-12-08T18:13:51.628219Z"", ""timestamp_ms"": 1733681631628}",1733681630229,trades,0,30155
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.466, ""volume"": 214.59227467, ""timestamp"": ""2024-12-08T18:13:53.543148Z"", ""timestamp_ms"": 1733681633543}",1733681632093,trades,0,30156
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4658745, ""volume"": 1004.01, ""timestamp"": ""2024-12-08T18:14:00.518746Z"", ""timestamp_ms"": 1733681640518}",1733681639078,trades,0,30157
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6392e-05, ""volume"": 250000.0, ""timestamp"": ""2024-12-08T18:14:02.500077Z"", ""timestamp_ms"": 1733681642500}",1733681641085,trades,0,30158
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6393e-05, ""volume"": 695728.0, ""timestamp"": ""2024-12-08T18:14:03.700603Z"", ""timestamp_ms"": 1733681643700}",1733681642309,trades,0,30159
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 3983.0, ""volume"": 0.004, ""timestamp"": ""2024-12-08T18:14:08.857884Z"", ""timestamp_ms"": 1733681648857}",1733681647429,trades,0,30160
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 3982.94, ""volume"": 0.03010293, ""timestamp"": ""2024-12-08T18:14:09.661624Z"", ""timestamp_ms"": 1733681649661}",1733681648211,trades,0,30161
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.9, ""volume"": 0.00099999, ""timestamp"": ""2024-12-08T18:14:15.716459Z"", ""timestamp_ms"": 1733681655716}",1733681654512,trades,0,30162
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.9, ""volume"": 0.00093774, ""timestamp"": ""2024-12-08T18:14:17.079334Z"", ""timestamp_ms"": 1733681657079}",1733681656020,trades,0,30163
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 3982.06, ""volume"": 0.10590891, ""timestamp"": ""2024-12-08T18:14:18.886082Z"", ""timestamp_ms"": 1733681658886}",1733681657536,trades,0,30164
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6387e-05, ""volume"": 37334559.0, ""timestamp"": ""2024-12-08T18:14:20.560968Z"", ""timestamp_ms"": 1733681660560}",1733681659207,trades,0,30165
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 5e-05, ""timestamp"": ""2024-12-08T18:14:21.547118Z"", ""timestamp_ms"": 1733681661547}",1733681660127,trades,0,30166
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4654988, ""volume"": 103.95, ""timestamp"": ""2024-12-08T18:14:22.076897Z"", ""timestamp_ms"": 1733681662076}",1733681660648,trades,0,30167
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6388e-05, ""volume"": 719303.0, ""timestamp"": ""2024-12-08T18:14:28.359078Z"", ""timestamp_ms"": 1733681668359}",1733681666910,trades,0,30168
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.9, ""volume"": 0.0001, ""timestamp"": ""2024-12-08T18:14:31.446419Z"", ""timestamp_ms"": 1733681671446}",1733681670002,trades,0,30169
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.9, ""volume"": 0.0001, ""timestamp"": ""2024-12-08T18:14:33.400374Z"", ""timestamp_ms"": 1733681673400}",1733681671954,trades,0,30170
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6468e-05, ""volume"": 38031963.12528, ""timestamp"": ""2024-12-08T18:14:41.409948Z"", ""timestamp_ms"": 1733681681409}",1733681679994,trades,0,30171
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 0.00019023, ""timestamp"": ""2024-12-08T18:14:46.848791Z"", ""timestamp_ms"": 1733681686848}",1733681685406,trades,0,30172
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 3982.05, ""volume"": 0.00497777, ""timestamp"": ""2024-12-08T18:14:46.848928Z"", ""timestamp_ms"": 1733681686848}",1733681685410,trades,0,30173
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4655703, ""volume"": 2.28, ""timestamp"": ""2024-12-08T18:14:46.936980Z"", ""timestamp_ms"": 1733681686936}",1733681685488,trades,0,30174
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6468e-05, ""volume"": 11624054.68438, ""timestamp"": ""2024-12-08T18:14:48.199775Z"", ""timestamp_ms"": 1733681688199}",1733681686855,trades,0,30175
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6468e-05, ""volume"": 25162615.31562, ""timestamp"": ""2024-12-08T18:14:48.199775Z"", ""timestamp_ms"": 1733681688199}",1733681686855,trades,0,30176
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4652246, ""volume"": 20.75331474, ""timestamp"": ""2024-12-08T18:14:49.322137Z"", ""timestamp_ms"": 1733681689322}",1733681687872,trades,0,30177
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.9, ""volume"": 0.00049261, ""timestamp"": ""2024-12-08T18:14:54.038800Z"", ""timestamp_ms"": 1733681694038}",1733681692589,trades,0,30178
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6467e-05, ""volume"": 112620595.25412, ""timestamp"": ""2024-12-08T18:14:55.287504Z"", ""timestamp_ms"": 1733681695287}",1733681693839,trades,0,30179
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6467e-05, ""volume"": 29064737.56969, ""timestamp"": ""2024-12-08T18:14:55.725341Z"", ""timestamp_ms"": 1733681695725}",1733681694329,trades,0,30180
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6467e-05, ""volume"": 86141232.47818, ""timestamp"": ""2024-12-08T18:14:55.924370Z"", ""timestamp_ms"": 1733681695924}",1733681694478,trades,0,30181
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6467e-05, ""volume"": 3189012.66795, ""timestamp"": ""2024-12-08T18:14:55.924370Z"", ""timestamp_ms"": 1733681695924}",1733681694478,trades,0,30182
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6467e-05, ""volume"": 4367567.22398, ""timestamp"": ""2024-12-08T18:14:56.027652Z"", ""timestamp_ms"": 1733681696027}",1733681694580,trades,0,30183
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.9, ""volume"": 0.05736966, ""timestamp"": ""2024-12-08T18:14:57.977448Z"", ""timestamp_ms"": 1733681697977}",1733681696531,trades,0,30184
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.9, ""volume"": 0.001, ""timestamp"": ""2024-12-08T18:14:57.977448Z"", ""timestamp_ms"": 1733681697977}",1733681696531,trades,0,30185
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.9, ""volume"": 0.01999982, ""timestamp"": ""2024-12-08T18:14:57.977448Z"", ""timestamp_ms"": 1733681697977}",1733681696532,trades,0,30186
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.9, ""volume"": 0.0123, ""timestamp"": ""2024-12-08T18:14:57.977448Z"", ""timestamp_ms"": 1733681697977}",1733681696532,trades,0,30187
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.9, ""volume"": 0.00492616, ""timestamp"": ""2024-12-08T18:14:57.977448Z"", ""timestamp_ms"": 1733681697977}",1733681696532,trades,0,30188
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 6.526e-05, ""timestamp"": ""2024-12-08T18:15:06.319478Z"", ""timestamp_ms"": 1733681706319}",1733681704869,trades,0,30189
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 3982.05, ""volume"": 0.002, ""timestamp"": ""2024-12-08T18:15:06.319650Z"", ""timestamp_ms"": 1733681706319}",1733681704870,trades,0,30190
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 0.00019451, ""timestamp"": ""2024-12-08T18:15:07.531183Z"", ""timestamp_ms"": 1733681707531}",1733681706082,trades,0,30191
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 0.0005, ""timestamp"": ""2024-12-08T18:15:07.531183Z"", ""timestamp_ms"": 1733681707531}",1733681706082,trades,0,30192
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 0.0005, ""timestamp"": ""2024-12-08T18:15:07.531183Z"", ""timestamp_ms"": 1733681707531}",1733681706082,trades,0,30193
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 0.0005, ""timestamp"": ""2024-12-08T18:15:07.531183Z"", ""timestamp_ms"": 1733681707531}",1733681706082,trades,0,30194
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 0.0005, ""timestamp"": ""2024-12-08T18:15:07.531183Z"", ""timestamp_ms"": 1733681707531}",1733681706083,trades,0,30195
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 0.0005, ""timestamp"": ""2024-12-08T18:15:07.531183Z"", ""timestamp_ms"": 1733681707531}",1733681706083,trades,0,30196
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 0.0005, ""timestamp"": ""2024-12-08T18:15:07.531183Z"", ""timestamp_ms"": 1733681707531}",1733681706083,trades,0,30197
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.8, ""volume"": 0.0005, ""timestamp"": ""2024-12-08T18:15:07.531183Z"", ""timestamp_ms"": 1733681707531}",1733681706083,trades,0,30198
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.0, ""volume"": 0.03906263, ""timestamp"": ""2024-12-08T18:15:07.531183Z"", ""timestamp_ms"": 1733681707531}",1733681706083,trades,0,30199
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.0, ""volume"": 0.0005, ""timestamp"": ""2024-12-08T18:15:07.531183Z"", ""timestamp_ms"": 1733681707531}",1733681706084,trades,0,30200
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 100000.0, ""volume"": 5e-05, ""timestamp"": ""2024-12-08T18:15:07.531183Z"", ""timestamp_ms"": 1733681707531}",1733681706084,trades,0,30201
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 99999.9, ""volume"": 0.0005, ""timestamp"": ""2024-12-08T18:15:07.531183Z"", ""timestamp_ms"": 1733681707531}",1733681706084,trades,0,30202
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 3982.06, ""volume"": 0.03929624, ""timestamp"": ""2024-12-08T18:15:08.178189Z"", ""timestamp_ms"": 1733681708178}",1733681706822,trades,0,30203
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4655245, ""volume"": 180.86588865, ""timestamp"": ""2024-12-08T18:15:09.058505Z"", ""timestamp_ms"": 1733681709058}",1733681707642,trades,0,30204
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 3982.06, ""volume"": 0.00465502, ""timestamp"": ""2024-12-08T18:15:09.328631Z"", ""timestamp_ms"": 1733681709328}",1733681707880,trades,0,30205
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4656562, ""volume"": 2.17, ""timestamp"": ""2024-12-08T18:15:09.442746Z"", ""timestamp_ms"": 1733681709442}",1733681707993,trades,0,30206
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 99992.8, ""volume"": 5.12e-05, ""timestamp"": ""2024-12-08T18:15:12.553243Z"", ""timestamp_ms"": 1733681712553}",1733681711122,trades,0,30207
b'PEPE-USD',"{""pair"": ""PEPE/USD"", ""price"": 2.6489e-05, ""volume"": 8194104.0, ""timestamp"": ""2024-12-08T18:15:12.975358Z"", ""timestamp_ms"": 1733681712975}",1733681711635,trades,0,30208
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4654849, ""volume"": 13.0, ""timestamp"": ""2024-12-08T18:15:16.337126Z"", ""timestamp_ms"": 1733681716337}",1733681714886,trades,0,30209
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 99992.7, ""volume"": 6.12e-05, ""timestamp"": ""2024-12-08T18:15:16.937299Z"", ""timestamp_ms"": 1733681716937}",1733681715527,trades,0,30210
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 99970.7, ""volume"": 5.12e-05, ""timestamp"": ""2024-12-08T18:15:16.937299Z"", ""timestamp_ms"": 1733681716937}",1733681715527,trades,0,30211
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 99963.3, ""volume"": 0.00588779, ""timestamp"": ""2024-12-08T18:15:16.937299Z"", ""timestamp_ms"": 1733681716937}",1733681715528,trades,0,30212
b'DOGE-USD',"{""pair"": ""DOGE/USD"", ""price"": 0.4654689, ""volume"": 13.0, ""timestamp"": ""2024-12-08T18:15:18.124577Z"", ""timestamp_ms"": 1733681718124}",1733681716754,trades,0,30213
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 99963.2, ""volume"": 0.00302308, ""timestamp"": ""2024-12-08T18:15:21.039184Z"", ""timestamp_ms"": 1733681721039}",1733681719624,trades,0,30214
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 99963.3, ""volume"": 0.00093658, ""timestamp"": ""2024-12-08T18:15:21.792898Z"", ""timestamp_ms"": 1733681721792}",1733681720441,trades,0,30215
